Titanic Victims
##################################################################################
Data Source: https://www.encyclopedia-titanica.org/
Data Extracted: December 2018, by Michael Graber
==================================================================================
Name,Age,Class/Dept,Ticket,Joined,Job,Boat [Body]
"ABBING, Mr Anthony",41,3rd Class Passenger,5547,Southampton,Blacksmith,
,,,£7 11s,,,
"ABBOTT, Mr Rossmore Edward",16,3rd Class Passenger,CA2673,Southampton,Jeweller,[190]
,,,£20 5s,,,
"ABBOTT, Mr Eugene Joseph",13,3rd Class Passenger,CA2673,Southampton,Scholar,
"ARNOLD-FRANCHI, MrJosef",25,3rd Class Passenger,349237,Southampton,General Labourer,
,,,£17 16s,,,
"ARONSSON, Mr Ernst Axel Algot",25,3rd Class Passenger,349911,Southampton,General Labourer,
,,,£7 15s 6d,,,
"ARTAGAVEYTIA, MrRamon",71,1st Class Passenger,17609,Cherbourg,Businessman,[22]
,,,£49 10s 1d,,,
"ASHBY, Mr John",57,2nd Class Passenger,244346,Southampton,,
,,,£13,,,
"ASHCROFT, Mr Austin Aloysius",26,Victualling Crew,,Southampton,Clerk,
"ASHE, Mr Henry Wellesley",41,Victualling Crew,,Southampton,Glory hole steward (3rd class),[34]
"ASIM, Mr Adola",35,3rd Class Passenger,3101310,Southampton,General Labourer,
,,,£7 1s,,,
"ASPESLAGH, Mr Georges",26,Restaurant Staff,,Southampton,Assistant Plateman,
"ASPLUND, MasterClarence Gustaf Hugo",9,3rd Class Passenger,347077,Southampton,,
,,,£31 7s 9d,,,
"ASPLUND, Mr Carl Oscar Vilhelm Gustafsson",40,3rd Class Passenger,347077,Southampton,General Labourer,[142]
,,,£31 7s 9d,,,
"ASPLUND, Master Carl Edgar",5,3rd Class Passenger,347077,Southampton,,
,,,£31 7s 9d,,,
"ASPLUND, Master Filip Oscar",13,3rd Class Passenger,347077,Southampton,,
,,,£31 7s 9d,,,
"ASSAM, Mr Ali",23,3rd Class Passenger,3101309,Southampton,General Labourer,
,,,£7 1s,,,
"ASTOR, Colonel John Jacob",47,1st Class Passenger,17757,Cherbourg,Property Developer / Real Estate,[124]
,,,£247 10s 6d,,,
"ATĀ ALLĀH, Miss Malakah",18,3rd Class Passenger,2627,Cherbourg,,
,,,£14 9s 2d,,,
"ATTALA, Mr Sleiman Khalil",27,3rd Class Passenger,2694,Cherbourg,Journalist,
,,,£7 4s 6d,,,
"AUGUSTSSON, Mr Albert",23,3rd Class Passenger,347468,Southampton,General Labourer,
,,,£7 17s 1d,,,
"AYLING, Mr Edwin George",23,Victualling Crew,,Southampton,Assistant Vegetable Cook,
"BACK, Mr Charles Frederick",37,Victualling Crew,,Belfast,Assistant Lounge Steward,
"BACKSTRÖM, Mr Karl Alfred",32,3rd Class Passenger,3101278,Southampton,General Labourer,
,,,£15 17s,,,
"BADT, Mr Mohamed",40,3rd Class Passenger,2623,Cherbourg,Farmer,
,,,£7 4s 6d,,,
"BAGLEY, Mr Edward Henry",33,Victualling Crew,,Southampton,Saloon Steward,
"BAILEY, Mr George Frank",46,Engineering Crew,,Southampton,Fireman,
"BAILEY, Mr George",44,Victualling Crew,,Belfast,Saloon Steward,[161]
"BAILEY, Mr Percy",18,2nd Class Passenger,29108,Southampton,Butcher's Assistant,
,,,£11 10s,,,
"BAINBRIGGE, Mr Charles Robert",22,2nd Class Passenger,31030,Southampton,Horse Trainer,
,,,£10 10s,,,
"BAINES, Mr Richard",58,Engineering Crew,,Southampton,Greaser,
"BAKIĆ, Mr Cerin",26,3rd Class Passenger,349248,Southampton,General Labourer,
,,,£7 17s 11d,,,
"BANEWER, Mr Solomon",42,2nd Class Passenger,211535,Southampton,Merchant,
,,,£13,,,
"BANFI, Sig. Ugo",24,Restaurant Staff,,Southampton,Waiter,
"BANFIELD, Mr Frederick James",28,2nd Class Passenger,34068,Southampton,Miner,
,,,£10 10s,,,
"BANNON, Mr John Joseph",34,Engineering Crew,,Southampton,Greaser,
"BARBARA, Mrs Catherine David",45,3rd Class Passenger,2691,Cherbourg,Housekeeper,
,,,£14 9s 1d,,,
"BARBARA, Miss Saiide",18,3rd Class Passenger,2691,Cherbourg,Housekeeper,
,,,£14 9s 1d,,,
"BARKER, Mr Albert Vale",19,Victualling Crew,,Southampton,Baker,
"BARKER, Mr Ernest Thomas",40,Victualling Crew,,Southampton,Saloon Steward (1st class),[159]
"BARKER, Mr Reginald Lomond",42,Victualling Crew,,Belfast,"Second Purser, 1st Class",
"BARLOW, Mr George",39,Victualling Crew,,Southampton,Bed Room Steward,
"BARLOW, Mr Charles Henry",30,Engineering Crew,,Southampton,Fireman,
"BARNES, Mr Charles",29,Engineering Crew,,Southampton,Fireman,
"BARNES, Mr John",39,Engineering Crew,,Southampton,Fireman,
"BARNES, Mr Frederick Charles",40,Victualling Crew,,Southampton,Assistant baker,[26]
"BARRATT, Mr Arthur",16,Victualling Crew,,Southampton,Bell Boy,
"BARRETT, Mr Frederick William",33,Engineering Crew,,Southampton,Fireman,
"BARRINGER, Mr Arthur William",34,Victualling Crew,,Belfast,Saloon Steward (1st class),
"BARROW, Mr Charles Henry John",35,Victualling Crew,,Southampton,Assistant butcher,
"BARROWS, Mr Edward William Peter",32,Victualling Crew,,Southampton,Saloon Steward,
"BARRY, Miss Julia",32,3rd Class Passenger,330844,Queenstown,Housekeeper,
,,,£7 17s 7d,,,
"BARTON, Mr David John",22,3rd Class Passenger,324669,Southampton,General Labourer,
,,,£8 1s,,,
"BARTON, Mr Sidney John",26,Victualling Crew,,Southampton,3rd Class Steward,
"BASILICO, Sig. Giovanni",27,Restaurant Staff,,Southampton,Waiter,
"BATEMAN, Revd Robert James",52,2nd Class Passenger,1166,Southampton,Priest / Minister,[174]
,,,£12 10s 6d,,,
"BATOSHEV, Mr Hristo Lalev",23,3rd Class Passenger,349217,Southampton,General Labourer,
,,,£7 17s 11d,,,
"BAUMANN, Mr John David",48,1st Class Passenger,17318,Cherbourg,Businessman,
,,,£25 18s 6d,,,
"BAXTER, Mr Quigg Edmond",24,1st Class Passenger,17558,Cherbourg,,
,,,£247 10s 5d,,,
"BAXTER, Mr Thomas Ferguson",55,Victualling Crew,,Southampton,Linen Steward (1st class),[235]
"BAXTER, Mr Harry Ross",53,Victualling Crew,,Southampton,3rd Class Steward,
"BAZZĪ, Mr Rashīd Al-Hāj 'Adb al-Husayn",30,3rd Class Passenger,2629,Cherbourg,,
,,,£7 4s 7d,,,
"BAZZI, Sig. Narciso",33,Restaurant Staff,,Southampton,Waiter,
"BEATTIE, Mr Thomson",36,1st Class Passenger,13050,Southampton,Landowner,A[331]
,,,£75 4s 10d,,,
"BEATTIE, Mr Joseph John",40,Engineering Crew,,Belfast,Greaser,
"BEAUCHAMP, Mr Henry James",43,2nd Class Passenger,244358,Southampton,Club Head Steward,
,,,£26,,,
"BEAVAN, Mr William Thomas",20,3rd Class Passenger,323951,Southampton,General Labourer,
,,,£8 1s,,,
"BEDFORD, Mr William Barnett",31,Victualling Crew,,Southampton,Assistant Roast Cook,
"BEEDEM, Mr George Arthur",35,Victualling Crew,,Southampton,2nd Class Bedroom Steward,
"BEERE, Mr William",19,Victualling Crew,,Southampton,Kitchen Porter,
"BELL, Mr Joseph",51,Engineering Crew,,Belfast,Chief Engineer,
"BENDELL, Mr Frank",23,Engineering Crew,,Southampton,Fireman,
"BENGTSSON, Mr Jan Viktor",26,3rd Class Passenger,347068,Southampton,General Labourer,
,,,£7 15s 6d,,,
"BENHAM, Mr Fred John",30,Victualling Crew,,Southampton,Saloon Steward (2nd class),
"BENNETT, Mr George Alfred",30,Engineering Crew,,Southampton,Fireman,
"BENVILLE, Mr Edward",47,Engineering Crew,,Southampton,Fireman,
"BERGLUND, Mr Karl Ivar Sven",22,3rd Class Passenger,4348,Southampton,General Labourer,
,,,£9 7s,,,
"BERNARDI, Sig. Battista",22,Restaurant Staff,,Southampton,Assistant Waiter,[215]
"BERRIMAN, Mr William John",23,2nd Class Passenger,28425,Southampton,,
,,,£13,,,
"BESSANT, Mr Edward",31,Victualling Crew,,Southampton,1st class baggage steward,
"BESSANT, Mr William Edward Lowe",40,Engineering Crew,,Southampton,Fireman,
"BEST, Mr Edwin Alfred",40,Victualling Crew,,Belfast,Saloon Steward (1st class),
"BEUX, Mr David",25,Restaurant Staff,,Southampton,Assistant Waiter,
"BEVIS, Mr Joseph Henry",22,Engineering Crew,,Southampton,Trimmer,
"BIDDLECOMBE, MrReginald Charles",31,Engineering Crew,,Southampton,Fireman,
"BIÉTRIX, Mr George Baptiste",28,Restaurant Staff,,Southampton,Cook,
"BIGGS, Mr Edward Charles",20,Engineering Crew,,Southampton,Fireman,
"BILLOWS, Mr James",20,Engineering Crew,,Southampton,Trimmer,
"BIRKELAND, Mr Hans Martin Monsen",21,3rd Class Passenger,312992,Southampton,Seaman,
,,,£7 15s 6d,,,
"BIRNBAUM, Mr Jakob",24,1st Class Passenger,13905,Cherbourg,,[148]
,,,£26,,,
"BISHOP, Mr Walter Alexander",34,Victualling Crew,,Belfast,1st Class Bedroom Steward,
"BJÖRKLUND, Mr Ernst Herbert",18,3rd Class Passenger,347090,Southampton,General Labourer,
,,,£7 15s,,,
"BLACK, Mr D.",41,Engineering Crew,,Southampton,Fireman,
,,Substitute Crew,,,,
"BLACK, Mr Alexander",28,Engineering Crew,,Southampton,Fireman,
"BLACKMAN, Mr Albert Edward",23,Engineering Crew,,Southampton,Fireman,
"BLACKWELL, Mr Stephen Weart",45,1st Class Passenger,113784,Southampton,,
,,,£35 10s,,,
"BLADES, Mr Frederick Charles",17,Victualling Crew,,Southampton,Lift Steward,
"BLAKE, Mr Thomas Henry",37,Engineering Crew,,Southampton,Fireman,
"BLAKE, Mr John Douglas Stanley George",26,Engineering Crew,,Belfast,Mess Steward,
"BLANEY, Mr James",32,Engineering Crew,,Southampton,Fireman,
"BLANN, Mr Eustace Horatius",21,Engineering Crew,,Southampton,Fireman,
"BLUMET, Mr Jean Baptiste",26,Restaurant Staff,,Southampton,Pantryman,
"BOCHATAY, Mr Alexis Joseph",30,Victualling Crew,,Southampton,Chef,
"BOCHET, Mr Pietro Giuseppe",43,Restaurant Staff,,Southampton,Waiter,
"BOGIE, Mr Norman Leslie",59,Victualling Crew,,Southampton,2nd Class Bedroom Steward,[274]
"BOLHUIS, Mr Hendrik",27,Restaurant Staff,,Southampton,Larder Cook,
"BOND, Mr William John",45,Victualling Crew,,Belfast,Bed Room Steward,
"BOOTHBY, Mr Walter Thomas",37,Victualling Crew,,Southampton,2nd Class Bedroom Steward,[107]
"BOREBANK, Mr John James",41,1st Class Passenger,110489,Southampton,Property Developer / Real Estate,
,,,£26 11s,,,
"BOSTANDJIEV, Mr Gencho",26,3rd Class Passenger,349224,Southampton,General Labourer,
,,,£7 17s 11d,,,
"BOSTON, Mr William John",33,Victualling Crew,,Belfast,Assistant Deck Steward (1st Class),
"BOTSFORD, Mr William Hull",25,2nd Class Passenger,237670,Southampton,,
,,,£13,,,
"BOTT, Mr William Thomas",46,Engineering Crew,,Southampton,Greaser,
"BOUGHTON, Mr Bernard John",24,Victualling Crew,,Southampton,First class saloon steward,
"BOULOS, Mr Hanna",18,3rd Class Passenger,2664,Cherbourg,General Labourer,
,,,£7 4s 6d,,,
"BOURKE, Miss Mary",40,3rd Class Passenger,364848,Queenstown,,
,,,£7 15s,,,
"BOURKE, Mr John",42,3rd Class Passenger,364849,Queenstown,Farmer,
,,,£15 10s,,,
"BOURKE, Mrs Catherine",32,3rd Class Passenger,364849,Queenstown,Housewife,
,,,£15 10s,,,
"BOWEN, Mr David John 'Dai'",20,3rd Class Passenger,54636,Southampton,Pugilist,
,,,£16 2s,,,
"BOYD, Mr John",37,Victualling Crew,,Southampton,Saloon Steward (1st class),
"BOYES, Mr John Henry",36,Victualling Crew,,Belfast,Saloon Steward (1st class),
"BRACKEN, Mr James Hollen",30,2nd Class Passenger,220367,Southampton,Stockman,
,,,£13,,,
"BRADLEY, Mr Patrick Joseph",38,Engineering Crew,,Southampton,Fireman,
"BRADLEY, Mr Thomas Henry",28,Deck Crew,,Southampton,Able Seaman,
"BRADSHAW, Mr John Albert Perkin",42,Victualling Crew,,Southampton,Plate Steward (1st Class),
"BRADY, Mr John Bertram",41,1st Class Passenger,113054,Southampton,,
,,,£30 10s,,,
"BRAF, Miss Elin Ester Maria",20,3rd Class Passenger,347471,Southampton,Servant,
,,,£7 17s 1d,,,
"BRAILEY, Mr William Theodore Ronald",24,2nd Class Passenger,250654,Southampton,Musician,
,,Musician,,,,
"BRANDEIS, Mr Emil Franklin",48,1st Class Passenger,17591,Cherbourg,,[208]
,,,£50 9s 11d,,,
"BRAUND, Mr Lewis Richard",29,3rd Class Passenger,3460,Southampton,Farm Labourer,
,,,£7 11d,,,
"BRAUND, Mr Owen Harris",22,3rd Class Passenger,21171,Southampton,Ironmonger,
,,,£7 5s,,,
"BREWE, Dr Arthur Jackson",45,1st Class Passenger,112379,Cherbourg,,
,,,£39 12s,,,
"BREWER, Mr Harry",30,Engineering Crew,,Southampton,Trimmer,
"BREWSTER, Mr George Henry",52,Victualling Crew,,Belfast,Bedroom Steward (1st Class),
"BRIANT, Mr Arthur",30,Engineering Crew,,Southampton,Greaser,
"BRIANT, Mr Albert",34,Engineering Crew,,Southampton,Greaser,
"BRICOUX, Mr Roger Marie",20,2nd Class Passenger,250654,Southampton,Musician,
,,Musician,,,,
"BRISTOW, Mr Robert Charles",38,Victualling Crew,,Southampton,3rd Class Steward,[290]
"BRISTOW, Mr Harry",38,Victualling Crew,,Southampton,Saloon Steward,
"BRITO, Mr José Joaquim de",40,2nd Class Passenger,244360,Southampton,,
,,,£13,,,
"BROBÄCK, Mr Karl Rudolf",22,3rd Class Passenger,350045,Southampton,Decorator,
,,,£7 15s 11d,,,
"BROCKLEBANK, MrWilliam Alfred",40,3rd Class Passenger,364512,Southampton,Groom,
,,,£8 1s,,,
"BROOKMAN, Mr John Cress",28,Victualling Crew,,Southampton,3rd Class Steward,
"BROOKS, Mr J.",25,Engineering Crew,,Southampton,Trimmer,
"BROOM, Mr Herbert George",33,Victualling Crew,,Belfast,Bath Steward,
"BROOME, Mr Athol Frederick",31,Victualling Crew,,Southampton,Verandah Steward (1st Class),
"BROWN, Mr Walter James",41,Victualling Crew,,Belfast,Saloon Steward (1st class),
"BROWN, Mr Joseph",30,Engineering Crew,,Southampton,Fireman,
,,Substitute Crew,,,,
"BROWN, Mr John",28,Engineering Crew,,Southampton,Fireman,[267]
"BROWN, Mr Thomas William Solomon",60,2nd Class Passenger,29750,Southampton,Hotelier,
,,,£39,,,
"BRYHL, Mr Kurt Arnold Gottfrid",25,2nd Class Passenger,236853,Southampton,,
,,,£26,,,
"BUCKLEY, Mr H. E.",34,Victualling Crew,,Southampton,Assistant Vegetable Cook,
"BUCKLEY, Miss Catherine",23,3rd Class Passenger,329944,Queenstown,,[299]
,,,£7 5s 8d,,,
"BULL, Mr Walter Edward",36,Victualling Crew,,Southampton,Scullion,
"BULLEY, Mr Henry Ashburnham",21,Victualling Crew,,Southampton,Boots Steward (2nd class),
"BŪLUS, Miss Nūr al-'ayn",10,3rd Class Passenger,2678,Cherbourg,,
,,,£15 4s 11d,,,
"BŪLUS, Master Akar",7,3rd Class Passenger,2678,Cherbourg,,
,,,£15 4s 11d,,,
"BŪLUS, Mrs Sultānah",40,3rd Class Passenger,2678,Cherbourg,,
,,,£15 4s 11d,,,
"BUNNELL, Mr Wilfred James",20,Victualling Crew,,Belfast,Plate Steward,
"BURKE, Mr Richard Edward",29,Victualling Crew,,Belfast,Lounge Steward (1st class),
"BURKE, Mr Jeremiah",19,3rd Class Passenger,365222,Queenstown,Farm Labourer,
,,,£6 15s,,,
"BURNS, Miss Mary Delia",15,3rd Class Passenger,330963,Queenstown,,
,,,£7 17s 7d,,,
"BURR, Mr Ewart Sydenham",29,Victualling Crew,,Southampton,Saloon Steward (1st class),
"BURROUGHS, Mr Arthur Peckham",34,Engineering Crew,,Southampton,Fireman,
"BURTON, Mr Edward John",35,Engineering Crew,,Southampton,Fireman,
"BUTLER, Mr Reginald Fenton",25,2nd Class Passenger,234686,Southampton,Mechanical Engineer,[97]
,,,£13,,,
"BUTRUS-KA'WĪ, MrTannūs",21,3rd Class Passenger,2648,Cherbourg,Shoemaker,
,,,£7 4s 7d,,,
"BUTT, Major Archibald Willingham",46,1st Class Passenger,113050,Southampton,Military,
,,,£26 11s,,,
"BUTT, Mr Robert Henry",21,Victualling Crew,,Southampton,Saloon Steward,[10]
"BUTT, Mr William John",30,Engineering Crew,,Southampton,Fireman,[77]
"BUTTERWORTH, Mr John",23,Victualling Crew,,Southampton,Saloon Steward,[116]
"BYLES, Fr Thomas Roussel Davids",42,2nd Class Passenger,244310,Southampton,Priest / Minister,
,,,£13,,,
"BYRNE, Mr James Edward",44,Victualling Crew,,Southampton,Bedroom Steward (2nd Class),
"ČAČIĆ, Miss Marija",36,3rd Class Passenger,315084,Southampton,Farm Labourer,
,,,£8 13s 3d,,,
"ČAČIĆ, Miss Manda",21,3rd Class Passenger,315087,Southampton,Farm Labourer,
,,,£8 13s 3d,,,
"ČAČIĆ, Mr Jego Grga",18,3rd Class Passenger,315091,Southampton,Farmer,
,,,£8 13s 3d,,,
"ČAČIĆ, Mr Luka",38,3rd Class Passenger,315089,Southampton,Farmer,
,,,£8 13s 3d,,,
"CAIRNS, Mr Alexander Milne",28,1st Class Passenger,113798,Southampton,Servant,
,,Servant,£31,,,
"CALDERWOOD, Mr Hugh",33,Engineering Crew,,Belfast,Trimmer,
"ČALIĆ, Mr Jovo",17,3rd Class Passenger,315093,Southampton,,
,,,£8 13s 3d,,,
"ČALIĆ, Mr Petar",17,3rd Class Passenger,315086,Southampton,Farm Labourer,
,,,£8 13s 3d,,,
"CAMPBELL, Mr Donald Samuel",28,Victualling Crew,,Southampton,3rd Class Clerk,
"CAMPBELL, Mr William",20,2nd Class Passenger,239853,Belfast,Carpenter / Joiner,
,,H&W Guarantee Group,,,,
"CANAVAN, Miss Mary",22,3rd Class Passenger,364846,Queenstown,,
,,,£7 15s,,,
"CANAVAN, Mr Patrick",21,3rd Class Passenger,364858,Queenstown,General Labourer,
,,,£7 15s,,,
"CANN, Mr Ernest",29,3rd Class Passenger,2152,Southampton,Miner,
,,,£8 1s,,,
"CANNER, Mr John",40,Engineering Crew,,Southampton,Fireman,
"CARAM, Mr Joseph",28,3rd Class Passenger,2689,Cherbourg,Merchant,
,,,£14 9s 2d,,,
"CARAM, Mrs Maria Elias",18,3rd Class Passenger,2689,Cherbourg,Housekeeper,
,,,£14 9s 2d,,,
"CARBINES, Mr William",19,2nd Class Passenger,28424,Southampton,Miner,[18]
,,,£13,,,
"CARLSSON, Mr Carl Robert",24,3rd Class Passenger,350409,Southampton,General Labourer,
,,,£7 17s 1d,,,
"CARLSSON, Mr August Sigfrid",28,3rd Class Passenger,350042,Southampton,Farmer,
,,,£7 15s 11d,,,
"CARLSSON, Mr Frans Olof",33,1st Class Passenger,695,Southampton,,
,,,£5,,,
"CARNEY, Mr William",31,Victualling Crew,,Southampton,Lift Steward,[251]
"CARR, Mr Richard Stephen",27,Engineering Crew,,Southampton,Trimmer,
"CARR, Miss Jane",45,3rd Class Passenger,368364,Queenstown,,
,,,£7 15s,,,
"CARRAU, Mr Francisco Mauro Severiano",27,1st Class Passenger,113059,Southampton,,
,,,£47 2s,,,
"CARRAÚ-ESTEVES, Mr José Pedro",17,1st Class Passenger,113059,Southampton,,
,,,£47 2s,,,
"CARTER, Rev. Ernest Courtenay",54,2nd Class Passenger,244252,Southampton,Priest / Minister,
,,,£26,,,
"CARTER, Mrs Lilian",45,2nd Class Passenger,244252,Southampton,,
,,,£26,,,
"CARTER, Mr James",46,Engineering Crew,,Southampton,Fireman,
"CARTWRIGHT, Mr James Edward",33,Victualling Crew,,Belfast,Saloon Steward,[320]
"CARVER, Mr Alfred John",27,3rd Class Passenger,370160,Southampton,Seaman,
,,,£7 5s,,,
"CASALI, Sig. Giulio",32,Restaurant Staff,,Southampton,Waiter,
"CASE, Mr Howard Brown",49,1st Class Passenger,19924,Southampton,,
,,,£26,,,
"CASEY, Mr Thomas",44,Engineering Crew,,Southampton,Trimmer,
"CASSWILL, Mr Charles",34,Victualling Crew,,Southampton,Saloon Steward,
"CASTLEMAN, Mr Edward",37,Engineering Crew,,Southampton,Greaser,
"CAUNT, Mr William Ewart",28,Victualling Crew,,Southampton,Grill Cook,
"CAVE, Mr Herbert",39,Victualling Crew,,Belfast,Saloon Steward (1st class),[218]
"CAVENDISH, Mr Tyrell William",36,1st Class Passenger,19877,Southampton,,[172]
,,,£78 17s,,,
"CECIL, Mr Charles Thomas",21,Victualling Crew,,Southampton,Steward,
"CELOTTI, Mr Francesco",24,3rd Class Passenger,343275,Southampton,Stoker,
,,,£8 1s,,,
"CHABOISSON, Mr Adrien Firmin",25,Restaurant Staff,,Southampton,Roast Cook,
"CHAFFEE, Mr Herbert Fuller",46,1st Class Passenger,5734,Southampton,,
,,,£61 3s 6d,,,
"CHAPMAN, Mr John Henry",37,2nd Class Passenger,29037,Southampton,Farmer,[17]
,,,£26,,,
"CHAPMAN, Mrs Sarah Elizabeth",30,2nd Class Passenger,29037,Southampton,,
,,,£26,,,
"CHAPMAN, Mr Charles Henry",51,2nd Class Passenger,248731,Southampton,,[130]
,,,£13 10s,,,
"CHARMAN, Mr John James",25,Victualling Crew,,Southampton,Saloon Steward (2nd class),
"CHARTERS, Mr David",20,3rd Class Passenger,13032,Queenstown,General Labourer,
,,,£7 14s 8d,,,
"CHERRETT, Mr William Victor",24,Engineering Crew,,Southampton,Fireman,
"CHEVERTON, Mr William Frederick",27,Victualling Crew,,Belfast,Saloon Steward (1st class),[334]
"CHISHOLM, Mr Roderick",43,1st Class Passenger,112051,Belfast,Draughtsman,
,,H&W Guarantee Group,,,,
"CHISNALL, Mr George Alexander",36,Engineering Crew,,Belfast,Boilermaker,[111]
"CHITTY, Mr George Henry",50,Victualling Crew,,Southampton,Baker,
"CHITTY, Mr Archibald George",28,Victualling Crew,,Southampton,Third Class Steward,
"CHORLEY, Mr John Henry",25,Engineering Crew,,Southampton,Fireman,
"CHRISTMANN, Mr Emil",29,3rd Class Passenger,343276,Southampton,Clerk,
,,,£8 1s,,,
